onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.011343	2.273220	choice_far_good	2.273220	0	low	0	4
16.688843	2.046276	choice_close_good	2.046276	4	high	0	4
21.941584	2.000000	outcome_close_good_defect	2.046276	4	high	0	4
24.749695	1.734985	choice_close_good	1.734985	4	low	4	20
30.000732	2.000000	outcome_close_good_defect	1.734985	4	low	4	20
32.812891	1.622152	choice_far_bad	1.622152	4	low	4	20
39.566359	2.000000	outcome_far_bad_defect	1.622152	4	low	4	20
45.606246	1.945766	choice_close_bad	1.945766	10	high	0	10
50.859063	2.000000	outcome_close_bad_defect	1.945766	10	high	0	10
60.129149	1.855612	choice_far_bad	1.855612	16	low	16	20
68.380830	2.000000	outcome_far_bad_defect	1.855612	16	low	16	20
71.189468	2.362067	choice_far_bad	2.362067	20	high	0	20
77.940749	2.000000	outcome_far_bad_defect	2.362067	20	high	0	20
85.598461	1.686918	choice_far_good	1.686918	20	high	16	20
92.350888	2.000000	outcome_far_good_defect	1.686918	20	high	16	20
95.161632	1.590968	choice_close_bad	1.590968	0	low	0	4
107.953424	1.348786	choice_far_good	1.348786	0	low	0	20
120.744466	1.640802	choice_far_good	1.640802	4	low	4	10
128.997012	2.000000	outcome_far_good_recip	1.640802	4	low	4	10
131.808090	1.843884	choice_far_bad	1.843884	10	low	10	20
138.560555	2.000000	outcome_far_bad_recip	1.843884	10	low	10	20
146.215481	2.237694	choice_close_good	2.237694	10	low	10	20
151.467219	2.000000	outcome_close_good_defect	2.237694	10	low	10	20
162.352317	1.833534	choice_close_good	1.833534	16	high	4	16
170.603271	2.000000	outcome_close_good_defect	1.833534	16	high	4	16
175.031100	1.721313	choice_far_bad	1.721313	0	low	0	4
183.094127	1.391934	choice_far_good	1.391934	16	high	4	16
188.346167	2.000000	outcome_far_good_defect	1.391934	16	high	4	16
191.157544	1.279765	choice_close_bad	1.279765	0	low	0	16
202.333585	1.335774	choice_close_bad	1.335774	4	low	4	16
207.586799	2.000000	outcome_close_bad_recip	1.335774	4	low	4	16
210.393570	1.543452	choice_close_bad	1.543452	16	low	16	20
215.646713	2.000000	outcome_close_bad_defect	1.543452	16	low	16	20
218.456132	1.397614	choice_close_good	1.397614	0	low	0	20
226.519869	1.749513	choice_far_good	1.749513	0	low	0	20
234.579836	1.673351	choice_far_good	1.673351	4	low	4	20
239.832539	2.000000	outcome_far_good_recip	1.673351	4	low	4	20
244.257502	1.661943	choice_close_good	1.661943	10	high	0	10
249.509851	2.000000	outcome_close_good_defect	1.661943	10	high	0	10
253.932878	1.453713	choice_close_good	1.453713	4	low	4	10
259.185592	2.000000	outcome_close_good_recip	1.453713	4	low	4	10
261.996200	1.506949	choice_far_bad	1.506949	0	low	0	16
273.287112	1.467079	choice_far_bad	1.467079	10	low	10	16
281.540118	2.000000	outcome_far_bad_defect	1.467079	10	low	10	16
284.351282	1.652575	choice_close_bad	1.652575	10	low	10	20
292.604274	2.000000	outcome_close_bad_recip	1.652575	10	low	10	20
297.030170	1.523698	choice_close_good	1.523698	16	low	16	20
302.282394	2.000000	outcome_close_good_defect	1.523698	16	low	16	20
306.707264	1.413419	choice_far_good	1.413419	10	low	10	20
311.960495	2.000000	outcome_far_good_recip	1.413419	10	low	10	20
316.382828	1.454897	choice_far_good	1.454897	16	high	0	16
323.133209	2.000000	outcome_far_good_recip	1.454897	16	high	0	16
325.945515	1.408436	choice_close_good	1.408436	16	high	0	16
331.198987	2.000000	outcome_close_good_defect	1.408436	16	high	0	16
334.007345	2.297159	choice_close_good	2.297159	0	low	0	4
351.529356	1.607663	choice_close_bad	1.607663	4	low	4	10
356.782183	2.000000	outcome_close_bad_recip	1.607663	4	low	4	10
364.437308	1.950465	choice_far_bad	1.950465	16	high	4	16
369.689885	2.000000	outcome_far_bad_defect	1.950465	16	high	4	16
372.497640	1.756684	choice_far_bad	1.756684	4	high	0	4
379.248269	2.000000	outcome_far_bad_defect	1.756684	4	high	0	4
382.058915	1.495442	choice_far_bad	1.495442	4	low	4	10
390.310978	2.000000	outcome_far_bad_recip	1.495442	4	low	4	10
397.966473	1.421755	choice_close_bad	1.421755	0	low	0	20
415.489899	1.631280	choice_far_good	1.631280	10	low	10	16
423.742975	2.000000	outcome_far_good_recip	1.631280	10	low	10	16
433.013525	1.841022	choice_far_bad	1.841022	0	low	0	20
442.575958	1.612193	choice_close_bad	1.612193	4	high	0	4
447.828753	2.000000	outcome_close_bad_defect	1.612193	4	high	0	4
450.638800	1.899398	choice_far_good	1.899398	10	high	0	10
457.390296	2.000000	outcome_far_good_recip	1.899398	10	high	0	10
460.201506	1.654095	choice_close_bad	1.654095	4	low	4	20
466.953922	2.000000	outcome_close_bad_recip	1.654095	4	low	4	20
474.611261	1.744400	choice_close_good	1.744400	0	low	0	20
489.134297	1.521860	choice_close_bad	1.521860	10	low	10	16
495.886859	2.000000	outcome_close_bad_defect	1.521860	10	low	10	16
498.698223	2.274508	choice_far_bad	2.274508	0	low	0	10
509.991853	1.681050	choice_close_bad	1.681050	0	low	0	20
521.169759	1.669431	choice_far_good	1.669431	4	high	0	4
527.921903	2.000000	outcome_far_good_recip	1.669431	4	high	0	4
532.347068	2.325809	choice_close_good	2.325809	16	high	10	16
537.599188	2.000000	outcome_close_good_recip	2.325809	16	high	10	16
