onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
281.687781	2.000000	outcome_far_bad_defect	1.819968	16	high	0	16
290.958631	1.880391	choice_close_good	1.880391	4	high	0	4
296.211605	2.000000	outcome_close_good_recip	1.880391	4	high	0	4
303.866775	1.705250	choice_far_bad	1.705250	0	low	0	20
316.545102	2.027709	choice_far_good	2.027709	10	high	0	10
324.797329	2.000000	outcome_far_good_recip	2.027709	10	high	0	10
327.608069	1.998199	choice_close_good	1.998199	0	low	0	20
341.899202	1.807033	choice_close_good	1.807033	10	low	10	16
347.152505	2.000000	outcome_close_good_recip	1.807033	10	low	10	16
349.963054	2.492643	choice_far_bad	2.492643	4	high	0	4
355.216467	2.000000	outcome_far_bad_recip	2.492643	4	high	0	4
362.871306	1.734509	choice_close_good	1.734509	4	low	4	10
369.624555	2.000000	outcome_close_good_recip	1.734509	4	low	4	10
372.434285	2.388163	choice_far_good	2.388163	20	high	4	20
379.187191	2.000000	outcome_far_good_recip	2.388163	20	high	4	20
381.995231	2.011144	choice_far_good	2.011144	16	high	10	16
388.746344	2.000000	outcome_far_good_recip	2.011144	16	high	10	16
398.015251	2.057884	choice_far_good	2.057884	20	high	0	20
406.268982	2.000000	outcome_far_good_defect	2.057884	20	high	0	20
410.693692	2.546404	choice_close_good	2.546404	16	high	0	16
415.946206	2.000000	outcome_close_good_defect	2.546404	16	high	0	16
418.753634	1.620019	choice_close_good	1.620019	4	high	0	4
424.006360	2.000000	outcome_close_good_recip	1.620019	4	high	0	4
426.815676	1.774753	choice_close_good	1.774753	0	low	0	20
441.223459	2.049999	choice_far_bad	2.049999	10	high	0	10
446.475976	2.000000	outcome_far_bad_defect	2.049999	10	high	0	10
450.901463	2.455294	choice_far_good	2.455294	16	high	4	16
459.154134	2.000000	outcome_far_good_recip	2.455294	16	high	4	16
461.964718	2.126041	choice_close_bad	2.126041	16	low	16	20
467.217719	2.000000	outcome_close_bad_defect	2.126041	16	low	16	20
470.025287	1.798582	choice_close_bad	1.798582	0	low	0	16
479.586858	1.570437	choice_close_bad	1.570437	0	low	0	20
489.150167	2.156376	choice_far_bad	2.156376	16	low	16	20
495.902642	2.000000	outcome_far_bad_defect	2.156376	16	low	16	20
498.712844	1.760313	choice_close_good	1.760313	10	high	0	10
503.965792	2.000000	outcome_close_good_defect	1.760313	10	high	0	10
513.233979	2.306279	choice_close_good	2.306279	10	low	10	20
518.485871	2.000000	outcome_close_good_defect	2.306279	10	low	10	20
522.911994	2.179344	choice_far_bad	2.179344	4	high	0	4
531.164643	2.000000	outcome_far_bad_defect	2.179344	4	high	0	4
533.972482	1.652233	choice_far_bad	1.652233	10	low	10	20
539.222936	2.000000	outcome_far_bad_defect	1.652233	10	low	10	20
