onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.025620	1.910474	choice_close_good	1.910474	4	low	4	20
12.280439	2.000000	outcome_close_good_recip	1.910474	4	low	4	20
15.093363	2.142373	choice_far_good	2.142373	16	low	16	20
20.346468	2.000000	outcome_far_good_recip	2.142373	16	low	16	20
26.384654	2.068772	choice_far_good	2.068772	4	high	0	4
31.638498	2.000000	outcome_far_good_defect	2.068772	4	high	0	4
36.063966	2.105728	choice_close_bad	2.105728	10	high	0	10
41.317459	2.000000	outcome_close_bad_defect	2.105728	10	high	0	10
50.588558	2.081283	choice_far_bad	2.081283	20	high	4	20
55.840903	2.000000	outcome_far_bad_recip	2.081283	20	high	4	20
61.881416	1.771550	choice_far_good	1.771550	20	high	0	20
68.633537	2.000000	outcome_far_good_defect	1.771550	20	high	0	20
71.443233	1.977164	choice_close_bad	1.977164	4	low	4	16
78.195263	2.000000	outcome_close_bad_defect	1.977164	4	low	4	16
85.850555	1.653456	choice_close_good	1.653456	4	low	4	16
92.603170	2.000000	outcome_close_good_recip	1.653456	4	low	4	16
97.028180	2.125330	choice_close_bad	2.125330	0	low	0	20
106.589998	2.097270	choice_close_bad	2.097270	4	high	0	4
113.342767	2.000000	outcome_close_bad_defect	2.097270	4	high	0	4
116.150820	1.653309	choice_close_bad	1.653309	10	low	10	20
121.402084	2.000000	outcome_close_bad_defect	1.653309	10	low	10	20
125.826799	1.694379	choice_close_bad	1.694379	0	low	0	4
141.965706	1.788009	choice_far_bad	1.788009	10	low	10	16
150.217563	2.000000	outcome_far_bad_defect	1.788009	10	low	10	16
153.028373	1.943002	choice_close_bad	1.943002	10	low	10	16
161.281254	2.000000	outcome_close_bad_defect	1.943002	10	low	10	16
167.321364	1.799159	choice_far_good	1.799159	10	low	10	20
172.574148	2.000000	outcome_far_good_recip	1.799159	10	low	10	20
176.997387	2.056798	choice_far_good	2.056798	16	high	0	16
182.250758	2.000000	outcome_far_good_defect	2.056798	16	high	0	16
185.059742	1.495166	choice_close_bad	1.495166	4	low	4	20
190.312085	2.000000	outcome_close_bad_defect	1.495166	4	low	4	20
194.737205	1.817709	choice_far_good	1.817709	4	high	0	4
202.990058	2.000000	outcome_far_good_recip	1.817709	4	high	0	4
212.260252	1.844829	choice_close_bad	1.844829	4	low	4	10
217.512275	2.000000	outcome_close_bad_defect	1.844829	4	low	4	10
223.552935	2.352008	choice_close_good	2.352008	16	low	16	20
228.805531	2.000000	outcome_close_good_defect	2.352008	16	low	16	20
236.460482	2.411060	choice_far_good	2.411060	10	high	4	10
241.713304	2.000000	outcome_far_good_recip	2.411060	10	high	4	10
244.523607	2.148132	choice_far_bad	2.148132	4	low	4	10
251.276014	2.000000	outcome_far_bad_defect	2.148132	4	low	4	10
255.699572	1.722546	choice_far_bad	1.722546	4	low	4	16
262.452253	2.000000	outcome_far_bad_recip	1.722546	4	low	4	16
265.259996	1.928249	choice_far_bad	1.928249	0	low	0	20
276.435231	1.819968	choice_far_bad	1.819968	16	high	0	16
