onset	duration	trial_type	response_time	ssd
0.0092769999973825	1.3497464000029138	fixation	n/a	n/a
1.3590234000002963	1.5	stop_success	n/a	300.0
8.675952500001586	1.8166983999981312	fixation	n/a	n/a
10.492650899999717	1.5	stop_success	n/a	350.0
13.876226599997608	2.399683300005563	fixation	n/a	n/a
16.27590990000317	0.68	go_correct	0.6796919999978854	350.0
21.52610860000277	1.533021799994458	fixation	n/a	n/a
23.05913039999723	0.498	go_correct	0.4979109999985667	350.0
30.926422900003672	1.5993802999946638	fixation	n/a	n/a
32.525803199998336	0.516	stop_failure	0.5158320000045933	300.0
38.24303320000036	1.7497166999964904	fixation	n/a	n/a
39.99274989999685	1.5	stop_success	n/a	350.0
44.85949860000255	1.4835729999977048	fixation	n/a	n/a
46.34307160000026	0.495	go_correct	0.4952906000035	350.0
50.80999410000368	1.2995192999951541	fixation	n/a	n/a
52.10951339999883	0.71	go_correct	0.7100617999967653	350.0
57.5098302999977	1.4499746000001394	fixation	n/a	n/a
58.95980489999784	0.444	go_correct	0.4437194000056479	350.0
65.51001109999925	1.4998742000025231	fixation	n/a	n/a
67.00988530000177	0.471	go_correct	0.4705809000006411	350.0
71.69297129999904	1.7669496000016807	fixation	n/a	n/a
73.45992090000072	0.41	stop_failure	0.4097617000006721	300.0
80.22647500000312	1.366659499995876	fixation	n/a	n/a
81.593134499999	0.426	go_correct	0.4256836999993538	300.0
86.46011980000185	2.083288800000446	fixation	n/a	n/a
88.5434086000023	0.508	go_correct	0.507936800000607	300.0
94.7766883000004	1.4500804999988617	fixation	n/a	n/a
96.22676879999926	0.682	go_correct	0.6823696999999811	300.0
101.26025990000198	2.3329664999982924	fixation	n/a	n/a
103.59322640000028	0.461	go_correct	0.4610534000021289	300.0
106.54377940000268	2.3329381000003195	fixation	n/a	n/a
108.876717500003	0.473	stop_failure	0.4725175999992643	250.0
110.75997310000092	1.3336310000013611	fixation	n/a	n/a
112.09360410000228	1.5	stop_success	n/a	300.0
119.5436633999998	1.5164969999968747	fixation	n/a	n/a
121.06016039999668	0.425	go_correct	0.4251321000047028	300.0
125.21063660000073	2.0664824999985143	fixation	n/a	n/a
127.27711909999924	0.438	go_correct	0.4382105999975465	300.0
132.92720160000317	1.7831981999988784	fixation	n/a	n/a
134.71039980000205	0.454	go_correct	0.4537793999988935	300.0
137.46059689999674	1.6330757000032463	fixation	n/a	n/a
139.0936726	0.505	go_correct	0.5049091000037151	300.0
142.4603324999989	1.9502886999980547	fixation	n/a	n/a
144.41062119999697	0.505	go_correct	0.5054994999954943	300.0
149.0106885999994	1.7328911000004155	fixation	n/a	n/a
150.74357969999983	0.571	go_correct	0.5709382999993977	300.0
155.3440591000035	1.5666504999971949	fixation	n/a	n/a
156.9107096000007	0.466	go_correct	0.465995099999418	300.0
160.99429830000008	2.216005499998573	fixation	n/a	n/a
163.21030379999866	0.468	go_correct	0.4677618999994593	300.0
170.06057619999774	1.2831931000037002	fixation	n/a	n/a
171.34376930000144	0.445	go_correct	0.4453104999993229	300.0
176.94406390000222	1.4165480000010575	fixation	n/a	n/a
178.36061190000328	0.587	go_correct	0.5873611999995774	300.0
185.2775594999985	1.2669253999992804	fixation	n/a	n/a
186.54448489999777	0.424	go_correct	0.4235446999955456	300.0
191.4276600000012	2.116409800000838	fixation	n/a	n/a
193.54406980000203	0.536	go_correct	0.5359027000013157	300.0
199.19437360000305	2.416559999997844	fixation	n/a	n/a
201.6109336000009	0.489	go_correct	0.4889732999945408	300.0
204.1443751999977	1.7498876000027224	fixation	n/a	n/a
205.89426280000043	0.444	stop_failure	0.4436948999937158	250.0
209.32789390000107	2.2498655000017607	fixation	n/a	n/a
211.57775940000283	0.415	stop_failure	0.4151677999980165	200.0
215.64446719999975	2.016522700003435	fixation	n/a	n/a
217.6609899000032	1.5	stop_success	n/a	250.0
223.76109639999777	1.4664943000025232	fixation	n/a	n/a
225.2275907000003	1.5	stop_success	n/a	300.0
231.8443335999982	1.4667593999984376	fixation	n/a	n/a
233.31109299999665	1.5	stop_success	n/a	350.0
237.3778792000012	1.7334838999959175	fixation	n/a	n/a
239.1113630999971	0.415	stop_failure	0.4154250999999931	300.0
245.61129300000172	1.650108499998197	fixation	n/a	n/a
247.26140149999992	0.515	go_correct	0.5153678999995464	300.0
254.5282219000001	1.3332615000035446	fixation	n/a	n/a
255.86148340000364	0.546	go_correct	0.5456016000025556	300.0
260.69500759999937	1.9661923000021488	fixation	n/a	n/a
262.6611999000015	0.521	go_correct	0.520892599997751	300.0
266.4948141999994	1.4830874000035124	fixation	n/a	n/a
267.9779016000029	0.475	go_correct	0.4750810999976238	300.0
271.8286193000022	1.4830384999950184	fixation	n/a	n/a
273.3116577999972	0.689	go_correct	0.6893978000007337	300.0
276.92828569999983	1.9834142000036081	fixation	n/a	n/a
278.91169990000344	0.587	go_correct	0.5869135000029928	300.0
283.87809050000214	1.6003130999961286	fixation	n/a	n/a
285.4784035999983	1.5	stop_success	n/a	350.0
291.21190000000206	1.3328868999960832	fixation	n/a	n/a
292.54478689999814	0.557	go_correct	0.5568016000033822	350.0
296.5451469999971	1.4833480000015697	fixation	n/a	n/a
298.02849499999866	1.5	stop_success	n/a	400.0
302.0122530000008	2.1496408000020892	fixation	n/a	n/a
304.1618938000029	1.5	stop_success	n/a	450.0
306.7119976000031	1.6833419999966281	fixation	n/a	n/a
308.3953395999997	0.551	stop_failure	0.5512000000016997	400.0
316.16210259999934	1.5499189000038314	fixation	n/a	n/a
317.7120215000032	1.5	stop_success	n/a	450.0
323.91206429999875	2.333049900000333	fixation	n/a	n/a
326.2451141999991	0.533	go_correct	0.5325463999979547	450.0
330.4118690999967	1.2332622000030824	fixation	n/a	n/a
331.6451312999998	0.84	go_correct	0.8403455000006943	450.0
335.4122589000035	1.5828010999975959	fixation	n/a	n/a
336.9950600000011	0.518	go_correct	0.5183483000000706	450.0
340.56241800000134	1.5828144999977667	fixation	n/a	n/a
342.1452324999991	0.407	go_correct	0.407227799994871	450.0
347.99529829999665	1.7670242000021972	fixation	n/a	n/a
349.76232249999885	0.452	go_correct	0.4521365000036894	450.0
354.6124395000006	1.3661951999965822	fixation	n/a	n/a
355.9786346999972	0.566	go_correct	0.5658220999976038	450.0
360.7625389000023	1.8329002999961972	fixation	n/a	n/a
362.5954391999985	0.372	go_correct	0.371877300000051	450.0
367.2789019999982	2.4003140999993775	fixation	n/a	n/a
369.6792160999976	1.5	stop_success	n/a	500.0
373.5454671999978	2.083379200004856	fixation	n/a	n/a
375.62884640000266	0.574	go_correct	0.5744603000057396	500.0
381.3790165000028	1.2833773999954587	fixation	n/a	n/a
382.6623938999983	0.518	go_correct	0.5178842999957851	500.0
387.6624249000015	1.6668491999952835	fixation	n/a	n/a
389.3292740999968	0.498	go_correct	0.4979272999989916	500.0
395.0291625000027	1.7001999999993131	fixation	n/a	n/a
396.729362500002	0.572	go_correct	0.5717078000016045	500.0
399.9790639999992	1.96719219999801	fixation	n/a	n/a
401.9462561999972	0.509	stop_failure	0.5089316000012332	450.0
406.2292766000028	1.4332990999973845	fixation	n/a	n/a
407.66257570000016	0.563	stop_failure	0.5626084999967134	400.0
412.5625960000034	1.5168282999948133	fixation	n/a	n/a
414.0794242999982	0.448	go_correct	0.4479498000000603	400.0
417.1129077000005	1.6995451999973739	fixation	n/a	n/a
418.8124528999979	0.54	go_correct	0.539686600001005	400.0
423.62967590000335	1.749850799998967	fixation	n/a	n/a
425.3795267000023	1.5	stop_success	n/a	450.0
429.1964128000036	1.6331840999991982	fixation	n/a	n/a
430.8295969000028	0.506	go_correct	0.5064525999987382	450.0
436.6797650000008	2.2334049999989816	fixation	n/a	n/a
438.9131699999998	0.704	go_correct	0.7039339000039035	450.0
442.5461541999976	1.8002995000060196	fixation	n/a	n/a
444.3464537000036	0.548	go_correct	0.5477390999949421	450.0
447.54626519999874	1.283881499999552	fixation	n/a	n/a
448.8301466999983	0.449	go_correct	0.4490442999958759	450.0
452.24655679999705	1.5833013000010396	fixation	n/a	n/a
453.8298580999981	0.429	stop_failure	0.4291138000044157	400.0
460.0797934000002	2.2167339000006905	fixation	n/a	n/a
462.2965273000009	0.539	go_correct	0.539417300002242	400.0
465.7133020999973	2.0999312000058126	fixation	n/a	n/a
467.8132333000031	0.569	go_correct	0.5689394000000902	400.0
473.5630873999981	1.7999165000000517	fixation	n/a	n/a
475.36300389999815	0.437	stop_failure	0.436949300004926	350.0
483.88012850000086	1.8332462999969152	fixation	n/a	n/a
485.7133747999978	0.507	go_correct	0.5065629000018816	350.0
